hco_id,old_parent_hco_id,new_parent_hco_id,effective_date
SITE00010,ORG0010,ORG0029,2024-02-15
SITE00203,ORG0003,ORG0003,2024-02-15
SITE00221,ORG0021,ORG0026,2024-02-15
SITE00231,ORG0031,ORG0014,2024-02-15
SITE00086,ORG0036,ORG0036,2024-02-15
SITE00245,ORG0045,ORG0008,2024-02-15
SITE00073,ORG0023,ORG0029,2024-02-15
SITE00281,ORG0031,ORG0010,2024-02-15
SITE00074,ORG0024,ORG0040,2024-02-15
SITE00236,ORG0036,ORG0045,2024-02-15
SITE00266,ORG0016,ORG0047,2024-02-15
SITE00064,ORG0014,ORG0013,2024-02-15
SITE00080,ORG0030,ORG0002,2024-02-15
SITE00264,ORG0014,ORG0033,2024-02-15
SITE00029,ORG0029,ORG0009,2024-02-15
SITE00064,ORG0014,ORG0020,2024-02-15
SITE00154,ORG0004,ORG0014,2024-02-15
