prescriber_id,entity_id_truth,period_end_date,product_id
RXD000000,HCP000000,2024-01-05,PRD002
RXD000000,HCP000000,2024-01-05,PRD004
UNK699357,HCP000000,2024-01-05,PRD005
UNK726747,HCP000000,2024-01-19,PRD002
RXD000000,HCP000000,2024-01-19,PRD004
RXD000000,HCP000000,2024-01-19,PRD005
RXD000000,HCP000000,2024-02-02,PRD002
RXD000000,HCP000000,2024-02-02,PRD004
RXD000000,HCP000000,2024-02-02,PRD005
RXD000000,HCP000000,2024-02-16,PRD002
RXD000000,HCP000000,2024-02-16,PRD004
RXD000000,HCP000000,2024-02-16,PRD005
UNK347513,HCP000000,2024-03-01,PRD002
RXD000000,HCP000000,2024-03-01,PRD004
RXD000000,HCP000000,2024-03-01,PRD005
RXD000000,HCP000000,2024-03-15,PRD002
RXD000000,HCP000000,2024-03-15,PRD004
RXD000000,HCP000000,2024-03-15,PRD005
RXD000000,HCP000000,2024-03-29,PRD002
RXD000000,HCP000000,2024-03-29,PRD004
RXD000000,HCP000000,2024-03-29,PRD005
RXD000001,HCP000001,2024-01-05,PRD001
RXD000001,HCP000001,2024-01-05,PRD002
RXD000001,HCP000001,2024-01-05,PRD003
RXD000001,HCP000001,2024-01-05,PRD004
RXD000001,HCP000001,2024-01-05,PRD005
UNK556445,HCP000001,2024-01-05,PRD007
RXD000001,HCP000001,2024-01-19,PRD001
RXD000001,HCP000001,2024-01-19,PRD002
RXD000001,HCP000001,2024-01-19,PRD003
RXD000001,HCP000001,2024-01-19,PRD004
RXD000001,HCP000001,2024-01-19,PRD005
RXD000001,HCP000001,2024-01-19,PRD007
RXD000001,HCP000001,2024-02-02,PRD001
UNK070106,HCP000001,2024-02-02,PRD002
RXD000001,HCP000001,2024-02-02,PRD003
RXD000001,HCP000001,2024-02-02,PRD004
RXD000001,HCP000001,2024-02-02,PRD005
RXD000001,HCP000001,2024-02-02,PRD007
RXD000001,HCP000001,2024-02-16,PRD001
RXD000001,HCP000001,2024-02-16,PRD002
RXD000001,HCP000001,2024-02-16,PRD003
RXD000001,HCP000001,2024-02-16,PRD004
RXD000001,HCP000001,2024-02-16,PRD005
RXD000001,HCP000001,2024-02-16,PRD007
RXD000001,HCP000001,2024-03-01,PRD001
RXD000001,HCP000001,2024-03-01,PRD002
RXD000001,HCP000001,2024-03-01,PRD003
RXD000001,HCP000001,2024-03-01,PRD004
RXD000001,HCP000001,2024-03-01,PRD005
RXD000001,HCP000001,2024-03-01,PRD007
RXD000001,HCP000001,2024-03-15,PRD001
UNK371301,HCP000001,2024-03-15,PRD002
RXD000001,HCP000001,2024-03-15,PRD003
RXD000001,HCP000001,2024-03-15,PRD004
