alignment_version_id,overlay_id,alignment_basis,basis_key,territory_id,weight,valid_from,valid_to,change_reason
ALN_V1,PRIMARY,GEOGRAPHY,90000,TERR0000,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V1,PRIMARY,GEOGRAPHY,90007,TERR0001,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V1,PRIMARY,GEOGRAPHY,90014,TERR0002,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V1,PRIMARY,GEOGRAPHY,90021,TERR0003,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V1,PRIMARY,GEOGRAPHY,90028,TERR0004,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V1,PRIMARY,GEOGRAPHY,90035,TERR0005,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V1,PRIMARY,GEOGRAPHY,90042,TERR0006,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V1,PRIMARY,GEOGRAPHY,90049,TERR0007,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V1,PRIMARY,GEOGRAPHY,90056,TERR0008,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V1,PRIMARY,GEOGRAPHY,90063,TERR0009,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V1,PRIMARY,GEOGRAPHY,90070,TERR0010,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V1,PRIMARY,GEOGRAPHY,90077,TERR0011,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V1,PRIMARY,GEOGRAPHY,90084,TERR0012,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V1,PRIMARY,GEOGRAPHY,90091,TERR0013,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V1,PRIMARY,GEOGRAPHY,90098,TERR0014,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V1,PRIMARY,GEOGRAPHY,90105,TERR0015,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V1,PRIMARY,GEOGRAPHY,90112,TERR0016,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V1,PRIMARY,GEOGRAPHY,90119,TERR0017,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V1,PRIMARY,GEOGRAPHY,90126,TERR0018,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V1,PRIMARY,GEOGRAPHY,90133,TERR0019,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V1,PRIMARY,GEOGRAPHY,90140,TERR0020,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V1,PRIMARY,GEOGRAPHY,90147,TERR0021,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V1,PRIMARY,GEOGRAPHY,90154,TERR0022,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V1,PRIMARY,GEOGRAPHY,90161,TERR0023,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V1,PRIMARY,GEOGRAPHY,90168,TERR0024,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V1,PRIMARY,GEOGRAPHY,90175,TERR0025,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V1,PRIMARY,GEOGRAPHY,90182,TERR0026,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V1,PRIMARY,GEOGRAPHY,90189,TERR0027,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V1,PRIMARY,GEOGRAPHY,90196,TERR0028,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V1,PRIMARY,GEOGRAPHY,90203,TERR0029,1.0,2024-01-01,2024-03-01,INITIAL
