call_id,call_date,rep_id,account_hcp_id,product_id,detail_position,duration_minutes
CALLHCP0019160,2024-03-20,REP0033,HCP001916,PRD001,1,9
CALLHCP0019161,2024-01-30,REP0039,HCP001916,PRD001,1,18
CALLHCP0019162,2024-01-08,REP0002,HCP001916,PRD001,1,21
CALLHCP0019163,2024-01-21,REP0004,HCP001916,PRD001,1,7
CALLHCP0015500,2024-02-12,REP0012,HCP001550,PRD001,1,12
CALLHCP0015501,2024-02-21,REP0014,HCP001550,PRD001,1,13
CALLHCP0015502,2024-02-23,REP0037,HCP001550,PRD001,1,14
CALLHCP0015503,2024-01-18,REP0016,HCP001550,PRD001,1,18
CALLHCP0015504,2024-02-20,REP0022,HCP001550,PRD001,1,19
CALLHCP0015505,2024-02-01,REP0002,HCP001550,PRD001,1,37
CALLHCP0015506,2024-02-03,REP0012,HCP001550,PRD001,1,33
CALLHCP0015490,2024-01-29,REP0027,HCP001549,PRD001,1,9
CALLHCP0015491,2024-03-20,REP0006,HCP001549,PRD001,1,22
CALLHCP0015492,2024-03-19,REP0010,HCP001549,PRD001,1,38
CALLHCP0015493,2024-02-14,REP0030,HCP001549,PRD001,1,33
CALLHCP0019580,2024-03-06,REP0027,HCP001958,PRD001,1,7
CALLHCP0019581,2024-03-08,REP0017,HCP001958,PRD001,1,14
CALLHCP0019582,2024-03-18,REP0005,HCP001958,PRD001,1,29
CALLHCP0019583,2024-02-18,REP0010,HCP001958,PRD001,1,22
CALLHCP0013960,2024-03-12,REP0039,HCP001396,PRD001,1,23
CALLHCP0013961,2024-02-06,REP0022,HCP001396,PRD001,1,11
CALLHCP0013962,2024-02-05,REP0018,HCP001396,PRD001,1,15
CALLHCP0013963,2024-01-12,REP0030,HCP001396,PRD001,1,36
CALLHCP0013964,2024-03-16,REP0007,HCP001396,PRD001,1,23
CALLHCP0013965,2024-01-02,REP0019,HCP001396,PRD001,1,14
CALLHCP0009400,2024-02-14,REP0020,HCP000940,PRD001,1,25
CALLHCP0009401,2024-01-26,REP0000,HCP000940,PRD001,1,29
CALLHCP0009402,2024-01-23,REP0000,HCP000940,PRD001,1,19
CALLHCP0009403,2024-03-22,REP0000,HCP000940,PRD001,1,24
CALLHCP0009404,2024-01-14,REP0021,HCP000940,PRD001,1,12
