entity_id,hco_id,is_primary,valid_from,valid_to
HCP000000,SITE00000,True,2024-01-01,9999-12-31
HCP000001,SITE00001,True,2024-01-01,9999-12-31
HCP000002,SITE00002,True,2024-01-01,9999-12-31
HCP000003,SITE00003,True,2024-01-01,9999-12-31
HCP000004,SITE00004,True,2024-01-01,9999-12-31
HCP000005,SITE00005,True,2024-01-01,9999-12-31
HCP000006,SITE00006,True,2024-01-01,9999-12-31
HCP000007,SITE00007,True,2024-01-01,9999-12-31
HCP000008,SITE00008,True,2024-01-01,9999-12-31
HCP000009,SITE00009,True,2024-01-01,9999-12-31
HCP000010,SITE00010,True,2024-01-01,9999-12-31
HCP000010,SITE00145,False,2024-01-01,9999-12-31
HCP000011,SITE00011,True,2024-01-01,9999-12-31
HCP000012,SITE00012,True,2024-01-01,9999-12-31
HCP000013,SITE00013,True,2024-01-01,9999-12-31
HCP000014,SITE00014,True,2024-01-01,9999-12-31
HCP000015,SITE00015,True,2024-01-01,9999-12-31
HCP000016,SITE00016,True,2024-01-01,9999-12-31
HCP000017,SITE00017,True,2024-01-01,9999-12-31
HCP000017,SITE00257,False,2024-01-01,9999-12-31
HCP000018,SITE00018,True,2024-01-01,9999-12-31
HCP000019,SITE00019,True,2024-01-01,9999-12-31
HCP000020,SITE00020,True,2024-01-01,9999-12-31
HCP000020,SITE00256,False,2024-01-01,9999-12-31
HCP000021,SITE00021,True,2024-01-01,9999-12-31
HCP000022,SITE00022,True,2024-01-01,9999-12-31
HCP000023,SITE00023,True,2024-01-01,9999-12-31
HCP000024,SITE00024,True,2024-01-01,9999-12-31
HCP000025,SITE00025,True,2024-01-01,9999-12-31
HCP000026,SITE00026,True,2024-01-01,9999-12-31
HCP000027,SITE00027,True,2024-01-01,9999-12-31
HCP000028,SITE00028,True,2024-01-01,9999-12-31
HCP000028,SITE00250,False,2024-01-01,9999-12-31
HCP000029,SITE00029,True,2024-01-01,9999-12-31
HCP000030,SITE00030,True,2024-01-01,9999-12-31
HCP000030,SITE00258,False,2024-01-01,9999-12-31
HCP000031,SITE00031,True,2024-01-01,9999-12-31
HCP000032,SITE00032,True,2024-01-01,9999-12-31
HCP000033,SITE00033,True,2024-01-01,9999-12-31
HCP000033,SITE00009,False,2024-01-01,9999-12-31
HCP000034,SITE00034,True,2024-01-01,9999-12-31
HCP000035,SITE00035,True,2024-01-01,9999-12-31
HCP000036,SITE00036,True,2024-01-01,9999-12-31
HCP000037,SITE00037,True,2024-01-01,9999-12-31
HCP000038,SITE00038,True,2024-01-01,9999-12-31
HCP000039,SITE00039,True,2024-01-01,9999-12-31
HCP000040,SITE00040,True,2024-01-01,9999-12-31
HCP000041,SITE00041,True,2024-01-01,9999-12-31
HCP000042,SITE00042,True,2024-01-01,9999-12-31
HCP000043,SITE00043,True,2024-01-01,9999-12-31
HCP000043,SITE00023,False,2024-01-01,9999-12-31
HCP000044,SITE00044,True,2024-01-01,9999-12-31
HCP000045,SITE00045,True,2024-01-01,9999-12-31
HCP000046,SITE00046,True,2024-01-01,9999-12-31
HCP000047,SITE00047,True,2024-01-01,9999-12-31
HCP000048,SITE00048,True,2024-01-01,9999-12-31
HCP000049,SITE00049,True,2024-01-01,9999-12-31
HCP000050,SITE00050,True,2024-01-01,9999-12-31
HCP000051,SITE00051,True,2024-01-01,9999-12-31
HCP000052,SITE00052,True,2024-01-01,9999-12-31
HCP000053,SITE00053,True,2024-01-01,9999-12-31
HCP000054,SITE00054,True,2024-01-01,9999-12-31
HCP000055,SITE00055,True,2024-01-01,9999-12-31
HCP000056,SITE00056,True,2024-01-01,9999-12-31
HCP000057,SITE00057,True,2024-01-01,9999-12-31
HCP000058,SITE00058,True,2024-01-01,9999-12-31
HCP000059,SITE00059,True,2024-01-01,9999-12-31
HCP000060,SITE00060,True,2024-01-01,9999-12-31
HCP000061,SITE00061,True,2024-01-01,9999-12-31
HCP000062,SITE00062,True,2024-01-01,9999-12-31
HCP000063,SITE00063,True,2024-01-01,9999-12-31
HCP000064,SITE00064,True,2024-01-01,9999-12-31
HCP000065,SITE00065,True,2024-01-01,9999-12-31
HCP000066,SITE00066,True,2024-01-01,9999-12-31
HCP000067,SITE00067,True,2024-01-01,9999-12-31
HCP000068,SITE00068,True,2024-01-01,9999-12-31
HCP000069,SITE00069,True,2024-01-01,9999-12-31
HCP000070,SITE00070,True,2024-01-01,9999-12-31
HCP000071,SITE00071,True,2024-01-01,9999-12-31
HCP000072,SITE00072,True,2024-01-01,9999-12-31
HCP000073,SITE00073,True,2024-01-01,9999-12-31
HCP000074,SITE00074,True,2024-01-01,9999-12-31
HCP000075,SITE00075,True,2024-01-01,9999-12-31
HCP000076,SITE00076,True,2024-01-01,9999-12-31
HCP000077,SITE00077,True,2024-01-01,9999-12-31
HCP000078,SITE00078,True,2024-01-01,9999-12-31
HCP000079,SITE00079,True,2024-01-01,9999-12-31
HCP000080,SITE00080,True,2024-01-01,9999-12-31
HCP000081,SITE00081,True,2024-01-01,9999-12-31
HCP000082,SITE00082,True,2024-01-01,9999-12-31
HCP000083,SITE00083,True,2024-01-01,9999-12-31
HCP000084,SITE00084,True,2024-01-01,9999-12-31
HCP000085,SITE00085,True,2024-01-01,9999-12-31
HCP000086,SITE00086,True,2024-01-01,9999-12-31
HCP000087,SITE00087,True,2024-01-01,9999-12-31
HCP000088,SITE00088,True,2024-01-01,9999-12-31
HCP000089,SITE00089,True,2024-01-01,9999-12-31
HCP000090,SITE00090,True,2024-01-01,9999-12-31
HCP000091,SITE00091,True,2024-01-01,9999-12-31
HCP000092,SITE00092,True,2024-01-01,9999-12-31
HCP000093,SITE00093,True,2024-01-01,9999-12-31
HCP000094,SITE00094,True,2024-01-01,9999-12-31
HCP000094,SITE00210,False,2024-01-01,9999-12-31
HCP000095,SITE00095,True,2024-01-01,9999-12-31
HCP000096,SITE00096,True,2024-01-01,9999-12-31
HCP000097,SITE00097,True,2024-01-01,9999-12-31
HCP000098,SITE00098,True,2024-01-01,9999-12-31
HCP000099,SITE00099,True,2024-01-01,9999-12-31
HCP000100,SITE00100,True,2024-01-01,9999-12-31
HCP000101,SITE00101,True,2024-01-01,9999-12-31
HCP000102,SITE00102,True,2024-01-01,9999-12-31
HCP000103,SITE00103,True,2024-01-01,9999-12-31
HCP000104,SITE00104,True,2024-01-01,9999-12-31
HCP000105,SITE00105,True,2024-01-01,9999-12-31
HCP000106,SITE00106,True,2024-01-01,9999-12-31
HCP000107,SITE00107,True,2024-01-01,9999-12-31
HCP000108,SITE00108,True,2024-01-01,9999-12-31
HCP000108,SITE00277,False,2024-01-01,9999-12-31
HCP000109,SITE00109,True,2024-01-01,9999-12-31
HCP000110,SITE00110,True,2024-01-01,9999-12-31
HCP000111,SITE00111,True,2024-01-01,9999-12-31
HCP000112,SITE00112,True,2024-01-01,9999-12-31
HCP000113,SITE00113,True,2024-01-01,9999-12-31
HCP000114,SITE00114,True,2024-01-01,9999-12-31
HCP000115,SITE00115,True,2024-01-01,9999-12-31
HCP000116,SITE00116,True,2024-01-01,9999-12-31
HCP000117,SITE00117,True,2024-01-01,9999-12-31
HCP000118,SITE00118,True,2024-01-01,9999-12-31
HCP000119,SITE00119,True,2024-01-01,9999-12-31
HCP000120,SITE00120,True,2024-01-01,9999-12-31
HCP000121,SITE00121,True,2024-01-01,9999-12-31
HCP000122,SITE00122,True,2024-01-01,9999-12-31
HCP000123,SITE00123,True,2024-01-01,9999-12-31
HCP000124,SITE00124,True,2024-01-01,9999-12-31
HCP000125,SITE00125,True,2024-01-01,9999-12-31
HCP000126,SITE00126,True,2024-01-01,9999-12-31
HCP000127,SITE00127,True,2024-01-01,9999-12-31
HCP000128,SITE00128,True,2024-01-01,9999-12-31
HCP000129,SITE00129,True,2024-01-01,9999-12-31
HCP000130,SITE00130,True,2024-01-01,9999-12-31
HCP000131,SITE00131,True,2024-01-01,9999-12-31
HCP000132,SITE00132,True,2024-01-01,9999-12-31
HCP000133,SITE00133,True,2024-01-01,9999-12-31
HCP000134,SITE00134,True,2024-01-01,9999-12-31
HCP000135,SITE00135,True,2024-01-01,9999-12-31
HCP000136,SITE00136,True,2024-01-01,9999-12-31
HCP000137,SITE00137,True,2024-01-01,9999-12-31
HCP000138,SITE00138,True,2024-01-01,9999-12-31
HCP000139,SITE00139,True,2024-01-01,9999-12-31
HCP000140,SITE00140,True,2024-01-01,9999-12-31
HCP000141,SITE00141,True,2024-01-01,9999-12-31
HCP000142,SITE00142,True,2024-01-01,9999-12-31
HCP000143,SITE00143,True,2024-01-01,9999-12-31
HCP000144,SITE00144,True,2024-01-01,9999-12-31
HCP000145,SITE00145,True,2024-01-01,9999-12-31
HCP000145,SITE00264,False,2024-01-01,9999-12-31
HCP000146,SITE00146,True,2024-01-01,9999-12-31
HCP000147,SITE00147,True,2024-01-01,9999-12-31
HCP000148,SITE00148,True,2024-01-01,9999-12-31
HCP000149,SITE00149,True,2024-01-01,9999-12-31
HCP000150,SITE00150,True,2024-01-01,9999-12-31
HCP000151,SITE00151,True,2024-01-01,9999-12-31
HCP000152,SITE00152,True,2024-01-01,9999-12-31
HCP000153,SITE00153,True,2024-01-01,9999-12-31
HCP000154,SITE00154,True,2024-01-01,9999-12-31
HCP000155,SITE00155,True,2024-01-01,9999-12-31
HCP000156,SITE00156,True,2024-01-01,9999-12-31
HCP000157,SITE00157,True,2024-01-01,9999-12-31
HCP000158,SITE00158,True,2024-01-01,9999-12-31
HCP000159,SITE00159,True,2024-01-01,9999-12-31
HCP000160,SITE00160,True,2024-01-01,9999-12-31
HCP000160,SITE00290,False,2024-01-01,9999-12-31
HCP000161,SITE00161,True,2024-01-01,9999-12-31
HCP000162,SITE00162,True,2024-01-01,9999-12-31
HCP000163,SITE00163,True,2024-01-01,9999-12-31
HCP000164,SITE00164,True,2024-01-01,9999-12-31
HCP000165,SITE00165,True,2024-01-01,9999-12-31
HCP000166,SITE00166,True,2024-01-01,9999-12-31
HCP000167,SITE00167,True,2024-01-01,9999-12-31
HCP000168,SITE00168,True,2024-01-01,9999-12-31
HCP000169,SITE00169,True,2024-01-01,9999-12-31
HCP000169,SITE00008,False,2024-01-01,9999-12-31
HCP000170,SITE00170,True,2024-01-01,9999-12-31
HCP000171,SITE00171,True,2024-01-01,9999-12-31
HCP000172,SITE00172,True,2024-01-01,9999-12-31
HCP000173,SITE00173,True,2024-01-01,9999-12-31
HCP000174,SITE00174,True,2024-01-01,9999-12-31
