zip5,county_id,state,region,division,population_weight,city
90000,CTY0001,CA,West,Pacific,4042.898158572219,SYNTH CITY 0
90007,CTY0001,OR,West,Pacific,1053.6503035737644,SYNTH CITY 1
90014,CTY0001,WA,West,Pacific,6313.53610655342,SYNTH CITY 2
90021,CTY0001,AZ,West,Mountain,7635.507734749971,SYNTH CITY 3
90028,CTY0001,CO,West,Mountain,423.67422021278355,SYNTH CITY 4
90035,CTY0002,TX,South,West South Central,810.6371092609847,SYNTH CITY 5
90042,CTY0002,FL,South,South Atlantic,3387.4760774894476,SYNTH CITY 6
90049,CTY0002,GA,South,South Atlantic,2172.768430079898,SYNTH CITY 7
90056,CTY0002,NY,Northeast,Middle Atlantic,2931.2928267580182,SYNTH CITY 8
90063,CTY0002,NJ,Northeast,Middle Atlantic,1270.233565551578,SYNTH CITY 9
90070,CTY0003,MA,Northeast,New England,7182.465409230689,SYNTH CITY 10
90077,CTY0003,PA,Northeast,Middle Atlantic,6488.534241537772,SYNTH CITY 11
90084,CTY0003,IL,Midwest,East North Central,3184.4367174480076,SYNTH CITY 12
90091,CTY0003,OH,Midwest,East North Central,9202.598851161889,SYNTH CITY 13
90098,CTY0003,MI,Midwest,East North Central,4757.65102010829,SYNTH CITY 14
90105,CTY0004,MN,Midwest,West North Central,1262.321212319264,SYNTH CITY 15
90112,CTY0004,CA,West,Pacific,4310.248267394235,SYNTH CITY 16
90119,CTY0004,OR,West,Pacific,1142.6637050172706,SYNTH CITY 17
90126,CTY0004,WA,West,Pacific,7175.662000912922,SYNTH CITY 18
90133,CTY0004,AZ,West,Mountain,2835.785043208683,SYNTH CITY 19
90140,CTY0005,CO,West,Mountain,2477.8279690020436,SYNTH CITY 20
90147,CTY0005,TX,South,West South Central,1508.8008203602299,SYNTH CITY 21
90154,CTY0005,FL,South,South Atlantic,10122.75702130916,SYNTH CITY 22
90161,CTY0005,GA,South,South Atlantic,2554.1391491295553,SYNTH CITY 23
90168,CTY0005,NY,Northeast,Middle Atlantic,1942.3855815633717,SYNTH CITY 24
90175,CTY0006,NJ,Northeast,Middle Atlantic,2096.1685337077834,SYNTH CITY 25
90182,CTY0006,MA,Northeast,New England,5076.154093044867,SYNTH CITY 26
90189,CTY0006,PA,Northeast,Middle Atlantic,4296.019023483544,SYNTH CITY 27
90196,CTY0006,IL,Midwest,East North Central,4504.051534056004,SYNTH CITY 28
90203,CTY0006,OH,Midwest,East North Central,4586.263884151707,SYNTH CITY 29
90210,CTY0007,MI,Midwest,East North Central,25378.245277362676,SYNTH CITY 30
90217,CTY0007,MN,Midwest,West North Central,1985.4184632332626,SYNTH CITY 31
90224,CTY0007,CA,West,Pacific,1786.041988446307,SYNTH CITY 32
90231,CTY0007,OR,West,Pacific,1321.1096042572792,SYNTH CITY 33
90238,CTY0007,WA,West,Pacific,5519.151549052247,SYNTH CITY 34
90245,CTY0008,AZ,West,Mountain,9218.543135402422,SYNTH CITY 35
90252,CTY0008,CO,West,Mountain,2659.923235022253,SYNTH CITY 36
90259,CTY0008,TX,South,West South Central,1286.7095767462654,SYNTH CITY 37
90266,CTY0008,FL,South,South Atlantic,1307.0379959369732,SYNTH CITY 38
90273,CTY0008,GA,South,South Atlantic,5713.532642678176,SYNTH CITY 39
90280,CTY0009,NY,Northeast,Middle Atlantic,6268.260551931405,SYNTH CITY 40
90287,CTY0009,NJ,Northeast,Middle Atlantic,5131.505004340921,SYNTH CITY 41
90294,CTY0009,MA,Northeast,New England,1532.2465836156466,SYNTH CITY 42
90301,CTY0009,PA,Northeast,Middle Atlantic,3759.9514462407465,SYNTH CITY 43
90308,CTY0009,IL,Midwest,East North Central,3349.9001189664314,SYNTH CITY 44
90315,CTY0010,OH,Midwest,East North Central,3709.634364601747,SYNTH CITY 45
90322,CTY0010,MI,Midwest,East North Central,7125.454395769677,SYNTH CITY 46
90329,CTY0010,MN,Midwest,West North Central,3727.8820962936607,SYNTH CITY 47
90336,CTY0010,CA,West,Pacific,5877.657417178471,SYNTH CITY 48
90343,CTY0010,OR,West,Pacific,3189.3712291105758,SYNTH CITY 49
90350,CTY0011,WA,West,Pacific,3980.3275691171225,SYNTH CITY 0
90357,CTY0011,AZ,West,Mountain,5604.293199880531,SYNTH CITY 1
90364,CTY0011,CO,West,Mountain,694.2583685103789,SYNTH CITY 2
90371,CTY0011,TX,South,West South Central,2165.3315804302215,SYNTH CITY 3
90378,CTY0011,FL,South,South Atlantic,1862.411338642484,SYNTH CITY 4
90385,CTY0012,GA,South,South Atlantic,1573.6013921359097,SYNTH CITY 5
90392,CTY0012,NY,Northeast,Middle Atlantic,2263.930517661581,SYNTH CITY 6
90399,CTY0012,NJ,Northeast,Middle Atlantic,13292.314781680008,SYNTH CITY 7
90406,CTY0012,MA,Northeast,New England,1254.0942580871401,SYNTH CITY 8
90413,CTY0012,PA,Northeast,Middle Atlantic,7850.074919305471,SYNTH CITY 9
90420,CTY0013,IL,Midwest,East North Central,553.9809103957493,SYNTH CITY 10
90427,CTY0013,OH,Midwest,East North Central,2132.637957269919,SYNTH CITY 11
90434,CTY0013,MI,Midwest,East North Central,3507.830608428023,SYNTH CITY 12
90441,CTY0013,MN,Midwest,West North Central,5357.337155966778,SYNTH CITY 13
90448,CTY0013,CA,West,Pacific,6070.684101684569,SYNTH CITY 14
90455,CTY0014,OR,West,Pacific,6590.25442967667,SYNTH CITY 15
90462,CTY0014,WA,West,Pacific,2103.325468741586,SYNTH CITY 16
90469,CTY0014,AZ,West,Mountain,1877.4095511701494,SYNTH CITY 17
90476,CTY0014,CO,West,Mountain,7030.238296099351,SYNTH CITY 18
90483,CTY0014,TX,South,West South Central,2461.9172003291064,SYNTH CITY 19
90490,CTY0015,FL,South,South Atlantic,832.4004845756401,SYNTH CITY 20
90497,CTY0015,GA,South,South Atlantic,959.7883448089317,SYNTH CITY 21
90504,CTY0015,NY,Northeast,Middle Atlantic,1188.6193637185709,SYNTH CITY 22
90511,CTY0015,NJ,Northeast,Middle Atlantic,4900.834344805462,SYNTH CITY 23
90518,CTY0015,MA,Northeast,New England,3437.245614117247,SYNTH CITY 24
90525,CTY0016,PA,Northeast,Middle Atlantic,5946.0674905138485,SYNTH CITY 25
90532,CTY0016,IL,Midwest,East North Central,1944.475110690864,SYNTH CITY 26
90539,CTY0016,OH,Midwest,East North Central,3493.0818987808025,SYNTH CITY 27
90546,CTY0016,MI,Midwest,East North Central,5572.4516794309975,SYNTH CITY 28
90553,CTY0016,MN,Midwest,West North Central,2187.803738065303,SYNTH CITY 29
90560,CTY0017,CA,West,Pacific,4706.855008540721,SYNTH CITY 30
90567,CTY0017,OR,West,Pacific,1537.7476485434981,SYNTH CITY 31
90574,CTY0017,WA,West,Pacific,2073.402286019963,SYNTH CITY 32
90581,CTY0017,AZ,West,Mountain,2035.0224016576256,SYNTH CITY 33
90588,CTY0017,CO,West,Mountain,901.5904355942824,SYNTH CITY 34
90595,CTY0018,TX,South,West South Central,4851.15684768894,SYNTH CITY 35
90602,CTY0018,FL,South,South Atlantic,1864.21933962844,SYNTH CITY 36
90609,CTY0018,GA,South,South Atlantic,3018.436070329709,SYNTH CITY 37
90616,CTY0018,NY,Northeast,Middle Atlantic,4821.048231937151,SYNTH CITY 38
90623,CTY0018,NJ,Northeast,Middle Atlantic,4658.883825617511,SYNTH CITY 39
90630,CTY0019,MA,Northeast,New England,5798.677242999946,SYNTH CITY 40
90637,CTY0019,PA,Northeast,Middle Atlantic,2701.3704991547575,SYNTH CITY 41
90644,CTY0019,IL,Midwest,East North Central,1952.179438005374,SYNTH CITY 42
90651,CTY0019,OH,Midwest,East North Central,2752.546574061376,SYNTH CITY 43
90658,CTY0019,MI,Midwest,East North Central,551.5130857878944,SYNTH CITY 44
90665,CTY0020,MN,Midwest,West North Central,701.2661785430546,SYNTH CITY 45
90672,CTY0020,CA,West,Pacific,794.1722582433838,SYNTH CITY 46
90679,CTY0020,OR,West,Pacific,1099.656538605212,SYNTH CITY 47
90686,CTY0020,WA,West,Pacific,4446.062832202045,SYNTH CITY 48
90693,CTY0020,AZ,West,Mountain,1205.3447982726157,SYNTH CITY 49
90700,CTY0021,CO,West,Mountain,2042.311320985319,SYNTH CITY 0
90707,CTY0021,TX,South,West South Central,10929.581570616707,SYNTH CITY 1
90714,CTY0021,FL,South,South Atlantic,2087.5283321880784,SYNTH CITY 2
90721,CTY0021,GA,South,South Atlantic,6232.3925094318165,SYNTH CITY 3
90728,CTY0021,NY,Northeast,Middle Atlantic,1171.9007942268606,SYNTH CITY 4
90735,CTY0022,NJ,Northeast,Middle Atlantic,2427.367078513918,SYNTH CITY 5
90742,CTY0022,MA,Northeast,New England,1152.8333168672866,SYNTH CITY 6
90749,CTY0022,PA,Northeast,Middle Atlantic,2123.809999149378,SYNTH CITY 7
90756,CTY0022,IL,Midwest,East North Central,6907.120655074513,SYNTH CITY 8
90763,CTY0022,OH,Midwest,East North Central,529.8953725672097,SYNTH CITY 9
90770,CTY0023,MI,Midwest,East North Central,4602.816342714831,SYNTH CITY 10
90777,CTY0023,MN,Midwest,West North Central,3780.968990033888,SYNTH CITY 11
90784,CTY0023,CA,West,Pacific,1645.5830602223018,SYNTH CITY 12
90791,CTY0023,OR,West,Pacific,702.0061366200072,SYNTH CITY 13
90798,CTY0023,WA,West,Pacific,3203.9173363464706,SYNTH CITY 14
90805,CTY0024,AZ,West,Mountain,1755.4970074503462,SYNTH CITY 15
90812,CTY0024,CO,West,Mountain,3761.887899689625,SYNTH CITY 16
90819,CTY0024,TX,South,West South Central,3046.815255441383,SYNTH CITY 17
90826,CTY0024,FL,South,South Atlantic,14791.069882456508,SYNTH CITY 18
90833,CTY0024,GA,South,South Atlantic,2346.416084307394,SYNTH CITY 19
90840,CTY0025,NY,Northeast,Middle Atlantic,1071.165414725186,SYNTH CITY 20
90847,CTY0025,NJ,Northeast,Middle Atlantic,3566.2704433321105,SYNTH CITY 21
90854,CTY0025,MA,Northeast,New England,3714.4900651369385,SYNTH CITY 22
90861,CTY0025,PA,Northeast,Middle Atlantic,11604.956557134008,SYNTH CITY 23
