plan_id,payer_id,plan_name,plan_type,lives
PAY000_COMM,PAY000,SynthoHealth COMM,COMM,324370
PAY000_MCARE_D,PAY000,SynthoHealth MCARE_D,MCARE_D,244712
PAY000_MCAID,PAY000,SynthoHealth MCAID,MCAID,1407394
PAY000_CASH,PAY000,SynthoHealth CASH,CASH,125665
PAY001_COMM,PAY001,UnionCare COMM,COMM,1043655
PAY001_MCARE_D,PAY001,UnionCare MCARE_D,MCARE_D,1820252
PAY001_MCAID,PAY001,UnionCare MCAID,MCAID,1881191
PAY001_CASH,PAY001,UnionCare CASH,CASH,660681
PAY002_COMM,PAY002,Prairie Mutual COMM,COMM,397244
PAY002_MCARE_D,PAY002,Prairie Mutual MCARE_D,MCARE_D,587959
PAY002_MCAID,PAY002,Prairie Mutual MCAID,MCAID,757403
PAY002_CASH,PAY002,Prairie Mutual CASH,CASH,750066
PAY003_COMM,PAY003,CoastalRx COMM,COMM,68687
PAY003_MCARE_D,PAY003,CoastalRx MCARE_D,MCARE_D,977308
PAY003_MCAID,PAY003,CoastalRx MCAID,MCAID,872236
PAY003_CASH,PAY003,CoastalRx CASH,CASH,315027
PAY004_COMM,PAY004,Metro Benefit COMM,COMM,149591
PAY004_MCARE_D,PAY004,Metro Benefit MCARE_D,MCARE_D,240508
PAY004_MCAID,PAY004,Metro Benefit MCAID,MCAID,468112
PAY004_CASH,PAY004,Metro Benefit CASH,CASH,840532
