product_id,product_name,is_brand,molecule,therapeutic_area,launch_date,ndc9,ndc11,strength,pack_size,units_per_pack,standard_units_factor,uom_default
PRD001,AURORIX,True,MOL_AURO,Rheumatology,2024-01-01,100000011,10000001101,50MG,1,1,1.0,EA
PRD001,AURORIX,True,MOL_AURO,Rheumatology,2024-01-01,100000014,10000001404,50MG,4,4,1.0,EA
PRD001,AURORIX,True,MOL_AURO,Rheumatology,2024-01-01,100000021,10000002101,100MG,1,1,2.0,EA
PRD001,AURORIX,True,MOL_AURO,Rheumatology,2024-01-01,100000024,10000002404,100MG,4,4,2.0,EA
PRD002,COMPARA,False,MOL_COMP,Rheumatology,2024-01-01,100010011,10001001101,50MG,1,1,1.0,EA
PRD002,COMPARA,False,MOL_COMP,Rheumatology,2024-01-01,100010014,10001001404,50MG,4,4,1.0,EA
PRD002,COMPARA,False,MOL_COMP,Rheumatology,2024-01-01,100010021,10001002101,100MG,1,1,2.0,EA
PRD002,COMPARA,False,MOL_COMP,Rheumatology,2024-01-01,100010024,10001002404,100MG,4,4,2.0,EA
PRD003,RHEUMEX,False,MOL_RHEU,Rheumatology,2024-01-01,100020011,10002001101,50MG,1,1,1.0,EA
PRD003,RHEUMEX,False,MOL_RHEU,Rheumatology,2024-01-01,100020014,10002001404,50MG,4,4,1.0,EA
PRD003,RHEUMEX,False,MOL_RHEU,Rheumatology,2024-01-01,100020021,10002002101,100MG,1,1,2.0,EA
PRD003,RHEUMEX,False,MOL_RHEU,Rheumatology,2024-01-01,100020024,10002002404,100MG,4,4,2.0,EA
PRD004,JOINTIVA,False,MOL_JOIN,Rheumatology,2024-01-01,100030011,10003001101,50MG,1,1,1.0,EA
PRD004,JOINTIVA,False,MOL_JOIN,Rheumatology,2024-01-01,100030014,10003001404,50MG,4,4,1.0,EA
PRD004,JOINTIVA,False,MOL_JOIN,Rheumatology,2024-01-01,100030021,10003002101,100MG,1,1,2.0,EA
PRD004,JOINTIVA,False,MOL_JOIN,Rheumatology,2024-01-01,100030024,10003002404,100MG,4,4,2.0,EA
PRD005,FLEXORAL,False,MOL_FLEX,Rheumatology,2024-01-01,100040011,10004001101,50MG,1,1,1.0,EA
PRD005,FLEXORAL,False,MOL_FLEX,Rheumatology,2024-01-01,100040014,10004001404,50MG,4,4,1.0,EA
PRD005,FLEXORAL,False,MOL_FLEX,Rheumatology,2024-01-01,100040021,10004002101,100MG,1,1,2.0,EA
PRD005,FLEXORAL,False,MOL_FLEX,Rheumatology,2024-01-01,100040024,10004002404,100MG,4,4,2.0,EA
PRD006,ARTHROLYN,False,MOL_ARTH,Rheumatology,2024-03-31,100050011,10005001101,50MG,1,1,1.0,EA
PRD006,ARTHROLYN,False,MOL_ARTH,Rheumatology,2024-03-31,100050014,10005001404,50MG,4,4,1.0,EA
PRD006,ARTHROLYN,False,MOL_ARTH,Rheumatology,2024-03-31,100050021,10005002101,100MG,1,1,2.0,EA
PRD006,ARTHROLYN,False,MOL_ARTH,Rheumatology,2024-03-31,100050024,10005002404,100MG,4,4,2.0,EA
PRD007,LEGACYBIO,False,MOL_LEGA,Rheumatology,2024-01-01,100060011,10006001101,50MG,1,1,1.0,EA
PRD007,LEGACYBIO,False,MOL_LEGA,Rheumatology,2024-01-01,100060014,10006001404,50MG,4,4,1.0,EA
PRD007,LEGACYBIO,False,MOL_LEGA,Rheumatology,2024-01-01,100060021,10006002101,100MG,1,1,2.0,EA
PRD007,LEGACYBIO,False,MOL_LEGA,Rheumatology,2024-01-01,100060024,10006002404,100MG,4,4,2.0,EA
