territory_id,territory_name,level,parent_territory_id,overlay_id,is_active
NAT01,National,NATION,,PRIMARY,True
UNALIGNED,Unaligned,TERRITORY,NAT01,PRIMARY,True
REG00,Region 0,REGION,NAT01,PRIMARY,True
REG01,Region 1,REGION,NAT01,PRIMARY,True
DIST000,District 0,DISTRICT,REG00,PRIMARY,True
DIST001,District 1,DISTRICT,REG01,PRIMARY,True
DIST002,District 2,DISTRICT,REG00,PRIMARY,True
DIST003,District 3,DISTRICT,REG01,PRIMARY,True
DIST004,District 4,DISTRICT,REG00,PRIMARY,True
DIST005,District 5,DISTRICT,REG01,PRIMARY,True
DIST006,District 6,DISTRICT,REG00,PRIMARY,True
DIST007,District 7,DISTRICT,REG01,PRIMARY,True
TERR0000,Territory 0,TERRITORY,DIST000,PRIMARY,True
TERR0001,Territory 1,TERRITORY,DIST001,PRIMARY,True
TERR0002,Territory 2,TERRITORY,DIST002,PRIMARY,True
TERR0003,Territory 3,TERRITORY,DIST003,PRIMARY,True
TERR0004,Territory 4,TERRITORY,DIST004,PRIMARY,True
TERR0005,Territory 5,TERRITORY,DIST005,PRIMARY,True
TERR0006,Territory 6,TERRITORY,DIST006,PRIMARY,True
TERR0007,Territory 7,TERRITORY,DIST007,PRIMARY,True
TERR0008,Territory 8,TERRITORY,DIST000,PRIMARY,True
TERR0009,Territory 9,TERRITORY,DIST001,PRIMARY,True
TERR0010,Territory 10,TERRITORY,DIST002,PRIMARY,True
TERR0011,Territory 11,TERRITORY,DIST003,PRIMARY,True
TERR0012,Territory 12,TERRITORY,DIST004,PRIMARY,True
TERR0013,Territory 13,TERRITORY,DIST005,PRIMARY,True
TERR0014,Territory 14,TERRITORY,DIST006,PRIMARY,True
TERR0015,Territory 15,TERRITORY,DIST007,PRIMARY,True
TERR0016,Territory 16,TERRITORY,DIST000,PRIMARY,True
TERR0017,Territory 17,TERRITORY,DIST001,PRIMARY,True
TERR0018,Territory 18,TERRITORY,DIST002,PRIMARY,True
TERR0019,Territory 19,TERRITORY,DIST003,PRIMARY,True
TERR0020,Territory 20,TERRITORY,DIST004,PRIMARY,True
TERR0021,Territory 21,TERRITORY,DIST005,PRIMARY,True
TERR0022,Territory 22,TERRITORY,DIST006,PRIMARY,True
TERR0023,Territory 23,TERRITORY,DIST007,PRIMARY,True
TERR0024,Territory 24,TERRITORY,DIST000,PRIMARY,True
TERR0025,Territory 25,TERRITORY,DIST001,PRIMARY,True
TERR0026,Territory 26,TERRITORY,DIST002,PRIMARY,True
TERR0027,Territory 27,TERRITORY,DIST003,PRIMARY,True
TERR0028,Territory 28,TERRITORY,DIST004,PRIMARY,True
TERR0029,Territory 29,TERRITORY,DIST005,PRIMARY,True
TERR0030,Territory 30,TERRITORY,DIST006,PRIMARY,True
TERR0031,Territory 31,TERRITORY,DIST007,PRIMARY,True
TERR0032,Territory 32,TERRITORY,DIST000,PRIMARY,True
TERR0033,Territory 33,TERRITORY,DIST001,PRIMARY,True
TERR0034,Territory 34,TERRITORY,DIST002,PRIMARY,True
TERR0035,Territory 35,TERRITORY,DIST003,PRIMARY,True
TERR0036,Territory 36,TERRITORY,DIST004,PRIMARY,True
TERR0037,Territory 37,TERRITORY,DIST005,PRIMARY,True
TERR0038,Territory 38,TERRITORY,DIST006,PRIMARY,True
TERR0039,Territory 39,TERRITORY,DIST007,PRIMARY,True
SPTERR000,Specialty Territory 0,TERRITORY,NAT01,SPECIALTY,True
SPTERR001,Specialty Territory 1,TERRITORY,NAT01,SPECIALTY,True
SPTERR002,Specialty Territory 2,TERRITORY,NAT01,SPECIALTY,True
SPTERR003,Specialty Territory 3,TERRITORY,NAT01,SPECIALTY,True
