product_id,valid_from,valid_to,wac
PRD001,2024-01-01,2024-01-31,844.6
PRD001,2024-01-31,2024-03-01,853.04
PRD001,2024-03-01,2024-03-31,861.49
PRD001,2024-03-31,2024-04-30,869.93
PRD002,2024-01-01,2024-01-31,1534.9
PRD002,2024-01-31,2024-03-01,1550.25
PRD002,2024-03-01,2024-03-31,1565.6
PRD002,2024-03-31,2024-04-30,1580.95
PRD003,2024-01-01,2024-01-31,1221.83
PRD003,2024-01-31,2024-03-01,1234.05
PRD003,2024-03-01,2024-03-31,1246.27
PRD003,2024-03-31,2024-04-30,1258.49
PRD004,2024-01-01,2024-01-31,2968.51
PRD004,2024-01-31,2024-03-01,2998.19
PRD004,2024-03-01,2024-03-31,3027.88
PRD004,2024-03-31,2024-04-30,3057.56
PRD005,2024-01-01,2024-01-31,1189.86
PRD005,2024-01-31,2024-03-01,1201.76
PRD005,2024-03-01,2024-03-31,1213.66
PRD005,2024-03-31,2024-04-30,1225.56
PRD006,2024-01-01,2024-01-31,2420.26
PRD006,2024-01-31,2024-03-01,2444.46
PRD006,2024-03-01,2024-03-31,2468.66
PRD006,2024-03-31,2024-04-30,2492.86
PRD007,2024-01-01,2024-01-31,3021.64
PRD007,2024-01-31,2024-03-01,3051.86
PRD007,2024-03-01,2024-03-31,3082.07
PRD007,2024-03-31,2024-04-30,3112.29
