territory_id,product_id,ic_period,goal_trx
TERR0000,PRD001,2024Q2,100.0
TERR0001,PRD001,2024Q2,100.0
TERR0002,PRD001,2024Q2,100.0
TERR0003,PRD001,2024Q2,100.0
TERR0004,PRD001,2024Q2,100.0
TERR0005,PRD001,2024Q2,100.0
TERR0006,PRD001,2024Q2,100.0
TERR0007,PRD001,2024Q2,100.0
TERR0008,PRD001,2024Q2,100.0
TERR0009,PRD001,2024Q2,100.0
TERR0010,PRD001,2024Q2,100.0
TERR0011,PRD001,2024Q2,100.0
TERR0012,PRD001,2024Q2,100.0
TERR0013,PRD001,2024Q2,100.0
TERR0014,PRD001,2024Q2,100.0
TERR0015,PRD001,2024Q2,100.0
TERR0016,PRD001,2024Q2,100.0
TERR0017,PRD001,2024Q2,100.0
TERR0018,PRD001,2024Q2,100.0
TERR0019,PRD001,2024Q2,100.0
TERR0020,PRD001,2024Q2,100.0
TERR0021,PRD001,2024Q2,100.0
TERR0022,PRD001,2024Q2,100.0
TERR0023,PRD001,2024Q2,100.0
TERR0024,PRD001,2024Q2,100.0
TERR0025,PRD001,2024Q2,100.0
TERR0026,PRD001,2024Q2,100.0
TERR0027,PRD001,2024Q2,100.0
TERR0028,PRD001,2024Q2,100.0
TERR0029,PRD001,2024Q2,100.0
TERR0030,PRD001,2024Q2,100.0
TERR0031,PRD001,2024Q2,100.0
TERR0032,PRD001,2024Q2,100.0
TERR0033,PRD001,2024Q2,100.0
TERR0034,PRD001,2024Q2,100.0
TERR0035,PRD001,2024Q2,100.0
TERR0036,PRD001,2024Q2,100.0
TERR0037,PRD001,2024Q2,100.0
TERR0038,PRD001,2024Q2,100.0
TERR0039,PRD001,2024Q2,100.0
SPTERR000,PRD001,2024Q2,100.0
SPTERR001,PRD001,2024Q2,100.0
SPTERR002,PRD001,2024Q2,100.0
SPTERR003,PRD001,2024Q2,100.0
