alignment_version_id,overlay_id,alignment_basis,basis_key,territory_id,weight,valid_from,valid_to,change_reason
ALN_V1,PRIMARY,ACCOUNT,SITE00000,TERR0000,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00000,TERR0000,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00005,TERR0001,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00005,TERR0001,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00010,TERR0002,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00010,TERR0002,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00015,TERR0003,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00015,TERR0003,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00020,TERR0004,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00020,TERR0004,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00025,TERR0005,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00025,TERR0005,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00030,TERR0006,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00030,TERR0006,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00035,TERR0007,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00035,TERR0007,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00040,TERR0008,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00040,TERR0008,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00045,TERR0009,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00045,TERR0009,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00050,TERR0010,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00050,TERR0010,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00055,TERR0011,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00055,TERR0011,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00060,TERR0012,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00060,TERR0012,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00065,TERR0013,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00065,TERR0013,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00070,TERR0014,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00070,TERR0014,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00075,TERR0015,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00075,TERR0015,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00080,TERR0016,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00080,TERR0016,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00085,TERR0017,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00085,TERR0017,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00090,TERR0018,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00090,TERR0018,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00095,TERR0019,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00095,TERR0019,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00100,TERR0020,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00100,TERR0020,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00105,TERR0021,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00105,TERR0021,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00110,TERR0022,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00110,TERR0022,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00115,TERR0023,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00115,TERR0023,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00120,TERR0024,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00120,TERR0024,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00125,TERR0025,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00125,TERR0025,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00130,TERR0026,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00130,TERR0026,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00135,TERR0027,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00135,TERR0027,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00140,TERR0028,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00140,TERR0028,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00145,TERR0029,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00145,TERR0029,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00150,TERR0030,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00150,TERR0030,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00155,TERR0031,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00155,TERR0031,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00160,TERR0032,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00160,TERR0032,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00165,TERR0033,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00165,TERR0033,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00170,TERR0034,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00170,TERR0034,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00175,TERR0035,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00175,TERR0035,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00180,TERR0036,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00180,TERR0036,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00185,TERR0037,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00185,TERR0037,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00190,TERR0038,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00190,TERR0038,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00195,TERR0039,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00195,TERR0039,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00200,TERR0000,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00200,TERR0000,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00205,TERR0001,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00205,TERR0001,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00210,TERR0002,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00210,TERR0002,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00215,TERR0003,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00215,TERR0003,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00220,TERR0004,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00220,TERR0004,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00225,TERR0005,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00225,TERR0005,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00230,TERR0006,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,ACCOUNT,SITE00230,TERR0006,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,ACCOUNT,SITE00235,TERR0007,1.0,2024-01-01,2024-03-01,INITIAL
