alignment_version_id,overlay_id,alignment_basis,basis_key,territory_id,weight,valid_from,valid_to,change_reason
ALN_V1,PRIMARY,PRESCRIBER,HCP000000,TERR0000,0.6,2024-01-01,2024-03-01,INITIAL
ALN_V1,PRIMARY,PRESCRIBER,HCP000000,TERR0001,0.4,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,PRESCRIBER,HCP000000,TERR0000,0.6,2024-03-01,9999-12-31,SPLIT
ALN_V2,PRIMARY,PRESCRIBER,HCP000000,TERR0001,0.4,2024-03-01,9999-12-31,SPLIT
ALN_V1,PRIMARY,PRESCRIBER,HCP000010,TERR0001,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,PRESCRIBER,HCP000010,TERR0001,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,PRESCRIBER,HCP000020,TERR0002,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,PRESCRIBER,HCP000020,TERR0002,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,PRESCRIBER,HCP000030,TERR0003,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,PRESCRIBER,HCP000030,TERR0003,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,PRESCRIBER,HCP000040,TERR0004,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,PRESCRIBER,HCP000040,TERR0004,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,PRESCRIBER,HCP000050,TERR0005,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,PRESCRIBER,HCP000050,TERR0005,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,PRESCRIBER,HCP000060,TERR0006,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,PRESCRIBER,HCP000060,TERR0006,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,PRESCRIBER,HCP000070,TERR0007,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,PRESCRIBER,HCP000070,TERR0007,1.0,2024-03-01,9999-12-31,REALIGNMENT
ALN_V1,PRIMARY,PRESCRIBER,HCP000080,TERR0008,1.0,2024-01-01,2024-03-01,INITIAL
ALN_V2,PRIMARY,PRESCRIBER,HCP000080,TERR0008,1.0,2024-03-01,9999-12-31,REALIGNMENT
