sample_id,call_id,hcp_id,product_id,quantity,signature_captured,sample_date
SAMPCALLHCP0019160,CALLHCP0019160,HCP001916,PRD001,3,True,2024-03-20
SAMPCALLHCP0019162,CALLHCP0019162,HCP001916,PRD001,2,True,2024-01-08
SAMPCALLHCP0019163,CALLHCP0019163,HCP001916,PRD001,3,True,2024-01-21
SAMPCALLHCP0015490,CALLHCP0015490,HCP001549,PRD001,1,True,2024-01-29
SAMPCALLHCP0015491,CALLHCP0015491,HCP001549,PRD001,2,True,2024-03-20
SAMPCALLHCP0009403,CALLHCP0009403,HCP000940,PRD001,2,True,2024-03-22
SAMPCALLHCP0009404,CALLHCP0009404,HCP000940,PRD001,3,True,2024-01-14
SAMPCALLHCP0001240,CALLHCP0001240,HCP000124,PRD001,2,True,2024-01-06
SAMPCALLHCP0005233,CALLHCP0005233,HCP000523,PRD001,2,True,2024-02-15
SAMPCALLHCP0003521,CALLHCP0003521,HCP000352,PRD001,1,True,2024-01-27
SAMPCALLHCP0009671,CALLHCP0009671,HCP000967,PRD001,3,True,2024-01-23
SAMPCALLHCP0009571,CALLHCP0009571,HCP000957,PRD001,3,True,2024-03-16
SAMPCALLHCP0009572,CALLHCP0009572,HCP000957,PRD001,1,True,2024-01-03
SAMPCALLHCP0009573,CALLHCP0009573,HCP000957,PRD001,3,True,2024-03-14
SAMPCALLHCP0006013,CALLHCP0006013,HCP000601,PRD001,3,True,2024-02-24
SAMPCALLHCP0004822,CALLHCP0004822,HCP000482,PRD001,1,True,2024-01-22
SAMPCALLHCP0004825,CALLHCP0004825,HCP000482,PRD001,1,True,2024-02-27
SAMPCALLHCP0004826,CALLHCP0004826,HCP000482,PRD001,3,True,2024-01-05
SAMPCALLHCP0002401,CALLHCP0002401,HCP000240,PRD001,1,True,2024-01-22
SAMPCALLHCP0009441,CALLHCP0009441,HCP000944,PRD001,2,True,2024-02-20
SAMPCALLHCP0009691,CALLHCP0009691,HCP000969,PRD001,1,True,2024-01-31
SAMPCALLHCP0014030,CALLHCP0014030,HCP001403,PRD001,1,True,2024-01-28
SAMPCALLHCP0016751,CALLHCP0016751,HCP001675,PRD001,3,True,2024-03-20
SAMPCALLHCP0016752,CALLHCP0016752,HCP001675,PRD001,1,True,2024-02-23
SAMPCALLHCP0017161,CALLHCP0017161,HCP001716,PRD001,3,True,2024-01-26
SAMPCALLHCP0008143,CALLHCP0008143,HCP000814,PRD001,1,True,2024-01-02
SAMPCALLHCP0008144,CALLHCP0008144,HCP000814,PRD001,3,True,2024-02-03
SAMPCALLHCP0019202,CALLHCP0019202,HCP001920,PRD001,2,True,2024-02-07
SAMPCALLHCP0005853,CALLHCP0005853,HCP000585,PRD001,2,True,2024-01-22
SAMPCALLHCP0005821,CALLHCP0005821,HCP000582,PRD001,3,True,2024-02-10
SAMPCALLHCP0005826,CALLHCP0005826,HCP000582,PRD001,3,True,2024-03-07
SAMPCALLHCP0008810,CALLHCP0008810,HCP000881,PRD001,3,True,2024-03-08
SAMPCALLHCP0008813,CALLHCP0008813,HCP000881,PRD001,1,True,2024-02-12
SAMPCALLHCP0007383,CALLHCP0007383,HCP000738,PRD001,3,True,2024-01-15
SAMPCALLHCP0015226,CALLHCP0015226,HCP001522,PRD001,3,True,2024-03-09
SAMPCALLHCP0007191,CALLHCP0007191,HCP000719,PRD001,2,True,2024-02-20
SAMPCALLHCP0011460,CALLHCP0011460,HCP001146,PRD001,2,True,2024-03-20
SAMPCALLHCP0012521,CALLHCP0012521,HCP001252,PRD001,2,True,2024-03-14
SAMPCALLHCP0012525,CALLHCP0012525,HCP001252,PRD001,2,True,2024-02-04
SAMPCALLHCP0008970,CALLHCP0008970,HCP000897,PRD001,3,True,2024-03-10
