interchange_control_number,group_control_number,transaction_set_control_number,report_id,report_date,report_purpose_code,line_number,transfer_type_code,ndc11,product_id,quantity,quantity_uom,unit_price_wac,ship_date,invoice_number,shipto_dea,shipto_hin,shipto_340b_id,shipto_name,shipto_address,shipto_city,shipto_state,shipto_zip,class_of_trade,wholesaler_id,is_return,delivery_delay_days
202401050001,1,0001,RPT20240105,2024-01-05,00,1938,SR,10002001101,PRD003,14.4997,EA,2074.280645145861,2024-01-05,INV4151054,AG1287185,H87355723,,Independent Site 1,201 PRACTICE AVE,SYNTH CITY,OR,90007,INDEPENDENT,WHL_A,False,0
202401050002,1,0001,RPT20240105,2024-01-05,00,7844,SR,10000001101,PRD001,47.3694,EA,1867.030756317282,2024-01-05,INV4333346,GB4453584,H31311904,,Hospital Site 2,202 PRACTICE AVE,SYNTH CITY,WA,90014,HOSPITAL,WHL_A,False,0
202401050003,1,0001,RPT20240105,2024-01-05,00,8108,SR,10003001101,PRD004,57.0226,EA,2402.8463780902694,2024-01-05,INV2986298,BR0311903,H96049455,,Clinic Site 3,203 PRACTICE AVE,SYNTH CITY,AZ,90021,CLINIC,WHL_A,False,0
202401050004,1,0001,RPT20240105,2024-01-05,00,6188,SR,10003001101,PRD004,14.2144,EA,2525.59344159342,2024-01-05,INV1092063,GP1896350,H93076607,,Ltc Site 4,204 PRACTICE AVE,SYNTH CITY,CO,90028,LTC,WHL_A,False,5
202401050007,1,0001,RPT20240105,2024-01-05,00,6820,SR,10005001101,PRD006,8.0045,EA,1192.0824375631819,2024-01-05,INV2974767,RG5761339,H73773485,340BSITE00007,Covered Entity 340B Site 7,207 PRACTICE AVE,SYNTH CITY,GA,90049,COVERED_ENTITY_340B,WHL_A,False,0
202401050010,1,0001,RPT20240105,2024-01-05,00,8843,SR,10002001101,PRD003,12.5224,PK,2091.1919127627593,2024-01-05,INV7587695,PB3603795,H34650547,,Hospital Site 10,210 PRACTICE AVE,SYNTH CITY,MA,90070,HOSPITAL,WHL_B,False,0
202401050011,1,0001,RPT20240105,2024-01-05,00,2295,SR,10005001101,PRD006,47.5439,EA,941.6414636168764,2024-01-05,INV6773389,FF8574468,H38249993,,Clinic Site 11,211 PRACTICE AVE,SYNTH CITY,PA,90077,CLINIC,WHL_A,False,0
202401050012,1,0001,RPT20240105,2024-01-05,00,2861,SR,10000001101,PRD001,23.5054,EA,2673.669621521293,2024-01-05,INV1549996,AG6462666,H23245342,,Ltc Site 12,212 PRACTICE AVE,SYNTH CITY,IL,90084,LTC,WHL_A,False,0
202401050014,1,0001,RPT20240105,2024-01-05,00,4828,SR,10000001101,PRD001,9.1152,EA,2007.4299281505082,2024-01-05,INV5954586,FR6091572,H24826417,,Specialty Site 14,214 PRACTICE AVE,SYNTH CITY,MI,90098,SPECIALTY,WHL_A,False,0
202401050015,1,0001,RPT20240105,2024-01-05,00,2156,SR,10003001101,PRD004,36.4352,EA,810.2309130931092,2024-01-05,INV7197958,FM7609090,H51067193,340BSITE00015,Covered Entity 340B Site 15,215 PRACTICE AVE,SYNTH CITY,MN,90105,COVERED_ENTITY_340B,WHL_A,False,0
202401050021,1,0001,RPT20240105,2024-01-05,00,14,SR,10006001101,PRD007,16.3278,EA,1278.1160900626205,2024-01-05,INV2144291,AR6346224,H27183513,,Mail Site 21,221 PRACTICE AVE,SYNTH CITY,TX,90147,MAIL,WHL_A,False,0
