hco_id,hco_name,class_of_trade,parent_hco_id,idn_id,gpo_id,is_340b,bed_count,address_line1,city,state,zip5,dea_number,hin,npi_org,level
ORG0000,Health System Parent 0,HOSPITAL,IDN000,IDN000,GPO0,False,624.0,100 MAIN ST,SYNTH CITY,CA,90000,MF1880707,H81415903,9314563955,PARENT
ORG0001,Health System Parent 1,HOSPITAL,IDN001,IDN001,GPO1,False,264.0,101 MAIN ST,SYNTH CITY,OR,90007,RR4055168,H17174091,5197844678,PARENT
ORG0002,Health System Parent 2,HOSPITAL,IDN002,IDN002,GPO2,False,685.0,102 MAIN ST,SYNTH CITY,WA,90014,AM1282742,H35769876,2413941693,PARENT
ORG0003,Health System Parent 3,HOSPITAL,IDN003,IDN003,GPO3,False,700.0,103 MAIN ST,SYNTH CITY,AZ,90021,BG5222978,H89180453,1183391998,PARENT
ORG0004,Health System Parent 4,HOSPITAL,IDN004,IDN004,GPO4,False,498.0,104 MAIN ST,SYNTH CITY,CO,90028,BB2514150,H70118045,5683839570,PARENT
ORG0005,Health System Parent 5,HOSPITAL,IDN005,IDN005,GPO0,False,706.0,105 MAIN ST,SYNTH CITY,TX,90035,PP5041822,H26594200,3958108102,PARENT
ORG0006,Health System Parent 6,HOSPITAL,IDN006,IDN006,GPO1,False,353.0,106 MAIN ST,SYNTH CITY,FL,90042,RM0888929,H38576667,7185359883,PARENT
ORG0007,Health System Parent 7,HOSPITAL,IDN007,IDN007,GPO2,False,397.0,107 MAIN ST,SYNTH CITY,GA,90049,PF6622014,H41462335,3734316227,PARENT
ORG0008,Health System Parent 8,HOSPITAL,IDN008,IDN008,GPO3,False,644.0,108 MAIN ST,SYNTH CITY,NY,90056,RM9847345,H98462855,7602170251,PARENT
ORG0009,Health System Parent 9,HOSPITAL,IDN009,IDN009,GPO4,False,571.0,109 MAIN ST,SYNTH CITY,NJ,90063,GR9196606,H75059719,9184547971,PARENT
ORG0010,Health System Parent 10,HOSPITAL,IDN000,IDN000,GPO0,False,748.0,110 MAIN ST,SYNTH CITY,MA,90070,RA2750056,H11150544,6577975421,PARENT
