hco_id,dea_number,hin,hco_name,class_of_trade,is_340b
ORG0000,MF1880707,H81415903,Health System Parent 0,HOSPITAL,False
ORG0001,RR4055168,H17174091,Health System Parent 1,HOSPITAL,False
ORG0002,AM1282742,H35769876,Health System Parent 2,HOSPITAL,False
ORG0003,BG5222978,H89180453,Health System Parent 3,HOSPITAL,False
ORG0004,BB2514150,H70118045,Health System Parent 4,HOSPITAL,False
ORG0005,PP5041822,H26594200,Health System Parent 5,HOSPITAL,False
ORG0006,RM0888929,H38576667,Health System Parent 6,HOSPITAL,False
ORG0007,PF6622014,H41462335,Health System Parent 7,HOSPITAL,False
ORG0008,RM9847345,H98462855,Health System Parent 8,HOSPITAL,False
ORG0009,GR9196606,H75059719,Health System Parent 9,HOSPITAL,False
ORG0010,RA2750056,H11150544,Health System Parent 10,HOSPITAL,False
ORG0011,AR8171704,H67497267,Health System Parent 11,HOSPITAL,False
ORG0012,FF1910954,H73171599,Health System Parent 12,HOSPITAL,False
ORG0013,PR4128861,H14506500,Health System Parent 13,HOSPITAL,False
ORG0014,FG9775139,H08627801,Health System Parent 14,HOSPITAL,False
ORG0015,RA2241878,H10926900,Health System Parent 15,HOSPITAL,False
ORG0016,PB0689917,H86884042,Health System Parent 16,HOSPITAL,False
ORG0017,GB8701020,H75976500,Health System Parent 17,HOSPITAL,False
ORG0018,AP1395457,H26854129,Health System Parent 18,HOSPITAL,False
ORG0019,BB4564941,H19192036,Health System Parent 19,HOSPITAL,False
ORG0020,BR5639024,H44120535,Health System Parent 20,HOSPITAL,False
ORG0021,FG1456539,H58758198,Health System Parent 21,HOSPITAL,False
ORG0022,GA1008880,H02534173,Health System Parent 22,HOSPITAL,False
ORG0023,MB2661535,H90947437,Health System Parent 23,HOSPITAL,False
ORG0024,BP5417148,H99952889,Health System Parent 24,HOSPITAL,False
ORG0025,AG4491312,H99062121,Health System Parent 25,HOSPITAL,False
ORG0026,PP6564677,H60737583,Health System Parent 26,HOSPITAL,False
ORG0027,GR3518335,H48551039,Health System Parent 27,HOSPITAL,False
ORG0028,AM9644315,H50421756,Health System Parent 28,HOSPITAL,False
ORG0029,GP2967480,H15784659,Health System Parent 29,HOSPITAL,False
ORG0030,PM3012057,H94898439,Health System Parent 30,HOSPITAL,False
ORG0031,BR4820039,H03196776,Health System Parent 31,HOSPITAL,False
ORG0032,BA6284095,H26507468,Health System Parent 32,HOSPITAL,False
ORG0033,RF7543125,H88160634,Health System Parent 33,HOSPITAL,False
ORG0034,AA5198775,H03492431,Health System Parent 34,HOSPITAL,False
ORG0035,RM8344899,H75592383,Health System Parent 35,HOSPITAL,False
ORG0036,MM6028223,H11380205,Health System Parent 36,HOSPITAL,False
ORG0037,MM2869274,H11531463,Health System Parent 37,HOSPITAL,False
