sp_pharmacy_id,ndc11,inventory_date,on_hand_units
SP00,10000001101,2024-01-05,184
SP00,10000001101,2024-01-19,10
SP00,10000001101,2024-02-02,91
SP00,10000001101,2024-02-16,63
SP00,10000001101,2024-03-01,128
SP00,10000001101,2024-03-15,193
SP00,10000001101,2024-03-29,51
SP01,10000001101,2024-01-05,23
SP01,10000001101,2024-01-19,168
SP01,10000001101,2024-02-02,16
SP01,10000001101,2024-02-16,179
SP01,10000001101,2024-03-01,23
SP01,10000001101,2024-03-15,75
SP01,10000001101,2024-03-29,110
SP02,10000001101,2024-01-05,61
SP02,10000001101,2024-01-19,161
SP02,10000001101,2024-02-02,94
SP02,10000001101,2024-02-16,13
SP02,10000001101,2024-03-01,52
SP02,10000001101,2024-03-15,133
SP02,10000001101,2024-03-29,49
SP03,10000001101,2024-01-05,36
SP03,10000001101,2024-01-19,199
SP03,10000001101,2024-02-02,94
SP03,10000001101,2024-02-16,198
SP03,10000001101,2024-03-01,39
SP03,10000001101,2024-03-15,139
SP03,10000001101,2024-03-29,109
SP04,10000001101,2024-01-05,144
SP04,10000001101,2024-01-19,46
SP04,10000001101,2024-02-02,128
SP04,10000001101,2024-02-16,32
SP04,10000001101,2024-03-01,198
SP04,10000001101,2024-03-15,98
SP04,10000001101,2024-03-29,36
